Year,Movie,Revenue,Budget,Summary,Director,Writers,Stars,Production
1995,Toy Story,"SGD 186,000","$30,000,000",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter,"['John Lasseter', 'Pete Docter']","['Tom Hanks', 'Tim Allen', 'Don Rickles']","['Pixar Animation Studios', 'Walt Disney Pictures']"
1995,Jumanji,"$2,740,000","$50,000,000","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",Joe Johnston,"['Jonathan Hensleigh', 'Greg Taylor']","['Robin Williams', 'Kirsten Dunst', 'Bonnie Hunt']","['TriStar Pictures', 'Interscope Communications', 'Teitler Film']"
1995,Grumpier Old Men,"$69,870,000","$25,000,000","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",Howard Deutch,"['Mark Steven Johnson', 'Mark Steven Johnson']","['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']","['Lancaster Gate', 'Warner Bros.']"
1995,Waiting to Exhale,"£1,240,401","$16,000,000","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",Forest Whitaker,"['Terry McMillan', 'Terry McMillan']","['Whitney Houston', 'Angela Bassett', 'Loretta Devine']",['Twentieth Century Fox Film Corporation']
1995,Father of the Bride Part II,"£4,239,588","$30,000,000","In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",Charles Shyer,"['Albert Hackett', 'Frances Goodrich']","['Steve Martin', 'Diane Keaton', 'Martin Short']","['Sandollar Productions', 'Taylor-Made Productions', 'The Meyers/Shyer Company']"
1995,Heat,"£8,903,230","$60,000,000",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,['Michael Mann'],"['Al Pacino', 'Robert De Niro', 'Val Kilmer']","['Warner Bros.', 'Regency Enterprises', 'Forward Pass']"
1995,Sabrina,"£1,193,923","$58,000,000","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Sydney Pollack,"['Samuel A. Taylor', 'Billy Wilder']","['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']","['Constellation Entertainment', 'Mirage Enterprises', 'Mont Blanc Entertainment GmbH']"
1995,Tom and Huck,"$23,735,802",NA,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",Peter Hewitt,"['Mark Twain', 'Stephen Sommers']","['Jonathan Taylor Thomas', 'Brad Renfro', 'Charles Rocket']","['Painted Fence Productions', 'Walt Disney Pictures']"
1995,Sudden Death,"$22,000,000","$35,000,000",A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,Peter Hyams,"['Karen Elise Baldwin', 'Gene Quintano']","['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry']","['Universal Pictures', 'Signature Entertainment', 'Imperial Entertainment']"
1995,GoldenEye,"£17,393,594","$58,000,000",James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,Martin Campbell,"['Ian Fleming', 'Michael France']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']","['Eon Productions', 'United Artists']"
1995,"The American President,","£2,628,944","$62,000,000","Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but ""politics is perception"" and sparks fly anyway.",Rob Reiner,['Aaron Sorkin'],"['Michael Douglas', 'Annette Bening', 'Martin Sheen']","['Universal Pictures', 'Castle Rock Entertainment', 'Wildwood Enterprises']"
1995,Dracula: Dead and Loving It,"£432,489","$30,000,000",Mel Brooks' parody of the classic vampire story and its famous film adaptations.,Mel Brooks,"['Mel Brooks', 'Rudy De Luca']","['Leslie Nielsen', 'Mel Brooks', 'Peter MacNicol']","['Gaumont', 'Castle Rock Entertainment', 'Brooksfilms']"
1995,Balto,"$11,268,750",NA,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,"['Cliff Ruby', 'Elana Lesser']","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']","['Amblimation', 'Amblin Entertainment', 'Universal Pictures']"
1995,Nixon,"$13,560,960","$50,000,000","A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",Oliver Stone,"['Stephen J. Rivele', 'Christopher Wilkinson']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']","['Cinergi Pictures Entertainment', 'Hollywood Pictures', 'Illusion Entertainment']"
1995,Cutthroat Island,"$11,000,000","$98,000,000",A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,Renny Harlin,"['Michael Frost Beckner', 'James Gorman']","['Geena Davis', 'Matthew Modine', 'Frank Langella']","['Beckner/Gorman Productions', 'Canal+', 'Carolco Pictures']"
